Name,Year,Score,Genre,Genre Count,Language,Budget,Revenue,Profit,Thriller,Animation,Adventure,Music,Comedy,History,Drama,Romance,Documentary,Mystery,Family,Fantasy,Action,Science Fiction,War,Horror,TV Movie,Western,Crime
Deadpool 2,2018,75.0,"Action,Comedy,Adventure",3,English,110000000.0,786362370.0,676362370.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
San Andreas,2015,62.0,"Action,Drama,Thriller",3,English,110000000.0,456258539.0,346258539.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Risen,2016,61.0,"Action,History,Adventure,Drama",4,English,20000000.0,46244066.0,26244066.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Super Mario Bros: This Ain't No Video Game,2014,34.0,Documentary,1,English,54640000.0,329856760.8,275216760.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ted 2,2015,63.0,"Comedy,Fantasy",2,English,68000000.0,217214143.0,149214143.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Exorcist,2001,77.0,Horror,1,English,12000000.0,428214478.0,416214478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Hunger Games: Catching Fire,2013,74.0,"Adventure,Action,Science Fiction",3,English,130000000.0,864868047.0,734868047.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
I Am Legend,2008,72.0,"Drama,Science Fiction,Thriller",3,English,150000000.0,585410052.0,435410052.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Avatar: Creating the World of Pandora,2010,70.0,Documentary,1,English,100140523.8,625891229.0,525750705.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kingsman: The Secret Service,2015,76.0,"Crime,Comedy,Action,Adventure",4,English,94000000.0,404561724.0,310561724.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
The Lord of the Rings: The Return of the King,2003,85.0,"Adventure,Fantasy,Action",3,English,94000000.0,1121386981.0,1027386981.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Thor: The Dark World,2013,65.0,"Action,Adventure,Fantasy",3,English,150000000.0,644602516.0,494602516.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Overcomer,2019,77.0,Drama,1,English,5000000.0,38093564.0,33093564.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journey 2: The Mysterious Island,2012,61.0,"Adventure,Action,Science Fiction",3,English,79000000.0,318146162.0,239146162.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
The Twilight Saga: Breaking Dawn - Part 2,2012,65.0,"Adventure,Fantasy,Drama,Romance",4,English,120000000.0,829747654.0,709747654.0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
The Vatican Tapes,2015,53.0,"Thriller,Horror",2,English,13000000.0,14929184.0,1929184.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Hunger Games: Mockingjay - Part 2,2015,69.0,"Action,Adventure,Science Fiction",3,English,160000000.0,647396133.0,487396133.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Scary Movie,2000,63.0,Comedy,1,English,19000000.0,277200000.0,258200000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight,2008,85.0,"Drama,Action,Crime,Thriller",4,English,185000000.0,1006234167.0,821234167.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Miracles from Heaven,2016,74.0,"Family,Drama",2,English,13000000.0,73773317.0,60773317.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Toy Story 4,2019,75.0,"Family,Adventure,Animation,Comedy,Fantasy",5,English,200000000.0,1073064540.0,873064540.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Iron Man 3,2013,69.0,"Action,Adventure,Science Fiction",3,English,200000000.0,1215392272.0,1015392272.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
