Name,Year,Score,Genre,Language,Budget,Revenue,Profit
Toy Story 3,2010-06-24,78.0,"Animation,Family,Comedy", English,200000000.0,1068879522.0,868879522.0
The Green Mile,2000-02-10,85.0,"Fantasy,Drama,Crime", English,60000000.0,290701374.0,230701374.0
Fifty Shades Darker,2017-02-09,65.0,"Drama,Romance", English,55000000.0,381367046.0,326367046.0
Guardians of the Galaxy Vol. 2,2017-04-25,76.0,"Adventure,Action,Science Fiction", English,200000000.0,863756051.0,663756051.0
Ant-Man and the Wasp,2018-07-05,70.0,"Action,Adventure,Science Fiction", English,130000000.0,623144660.0,493144660.0
Joker,2019-10-03,82.0,"Crime,Thriller,Drama", English,55000000.0,1069121583.0,1014121583.0
Percy Jackson & the Olympians: The Lightning Thief,2010-02-11,62.0,"Adventure,Fantasy,Family", English,95000000.0,223050874.0,128050874.0
Constantine,2005-02-24,70.0,"Fantasy,Action,Horror", English,75000000.0,221593554.0,146593554.0
Gifted,2017-08-10,81.0,"Drama,Comedy", English,7000000.0,36964656.0,29964656.0
Kung Fu Panda,2008-06-26,72.0,"Action,Adventure,Animation,Family,Comedy", English,130000000.0,631910531.0,501910531.0
The Man from Earth,2008-09-16,76.0,"Science Fiction,Drama", English,200000.0,58992776.8,58792776.8
Wrong Turn 3: Left for Dead,2009-10-20,56.0,"Horror,Thriller", English,3000000.0,37753869.2,34753869.2
Apocalypto,2006-12-07,75.0,"Action,Drama,History", English,40000000.0,121032272.0,81032272.0
Venom,2018-09-28,68.0,"Science Fiction,Action", English,116000000.0,856081053.0,740081053.0
Catch Me If You Can,2003-01-09,80.0,"Drama,Crime", English,52000000.0,352114312.0,300114312.0
The Lord of the Rings: The Two Towers,2002-12-26,84.0,"Adventure,Fantasy,Action", English,94000000.0,919148764.0,825148764.0
X-Men: Apocalypse,2016-05-19,65.0,"Action,Adventure,Science Fiction,Fantasy", English,178000000.0,542537546.0,364537546.0
Alita: Battle Angel,2019-02-14,72.0,"Action,Science Fiction,Adventure", English,170000000.0,401900040.0,231900040.0
